"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Branch Mispredict","Machine Clears","L1 Bound","L2 Bound","L3 Bound","DRAM Bound","Store Bound","Core Bound","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"k2_parallel_division._omp_fn.0","394.931","1379887500000","1122730100000","1.22905","0.469729","0.120164","0.362779","0.000190581","0.141889","5.26177e-05","0","0","0","0.038696","3.49399e+09","primes_omp","k2_parallel_division._omp_fn.0","primes2.c","0x2060"
"k1_sequential_division","272.188","950918800000","1122754900000","0.846951","0.341971","0.196207","0.3822","6.3195e-05","0.0864772","0","0.000153057","0","0","0.0674192","3.49361e+09","primes_omp","k1_sequential_division","primes2.c","0x2fe0"
"k4a_parallel_sieve_functional_fs._omp_fn.0","6.96899","21786800000","6727000000","3.23871","0.0951484","0.47572","0.156893","0","0.0767625","8.02899e-05","0.0233821","0.443917","0","0.106075","3.12625e+09","primes_omp","k4a_parallel_sieve_functional_fs._omp_fn.0","primes2.c","0x26c0"
"[vmlinux]","5.10458","16631500000","10233100000","1.62527","0.392522","0.545983","0.0408054","0.0305811","0.135589","0.00261519","0.0655861","0.0149144","0.0262435","0","3.25815e+09","vmlinux","[vmlinux]","[Unknown]","0"
"k4_parallel_sieve_functional._omp_fn.0","3.16108","11014300000","4944500000","2.22759","0.0989132","0.0423964","0","3.37457e-06","0","2.26821e-11","0.0066126","0.0396218","0.759805","0.462858","3.48435e+09","primes_omp","k4_parallel_sieve_functional._omp_fn.0","primes2.c","0x2260"
"k3_sequential_sieve","2.81363","9827000000","5514900000","1.7819","0.0954596","0.00347126","0","0.00520689","0","","0.0148107","","0.807183","0.455154","3.49264e+09","primes_omp","k3_sequential_sieve","primes2.c","0x37a0"
"k5_parallel_sieve_domain._omp_fn.0","1.43385","5046800000","5208000000","0.969048","0.374686","0.201763","0","0.0144418","0.0144195","","0","","0.360256","0.25035","3.51976e+09","primes_omp","k5_parallel_sieve_domain._omp_fn.0","primes2.c","0x2b60"
"func@0x25684","1.41983","4736800000","223200000","21.2222","0.0614194","0.0844466","0","0.00769897","0.0614304","0","0","0","0","0.801872","3.33617e+09","libgomp.so.1.0.0","func@0x25684","[Unknown]","0x25684"
"k3a_sequential_sieve_local","0.917183","3205400000","5747400000","0.557713","0.351897","0.0624334","0","0.0624334","0.0227031","0","0","0","0.408655","0.297864","3.49483e+09","primes_omp","k3a_sequential_sieve_local","primes2.c","0x1474"
"func@0x25824","0.436563","1624400000","49600000","32.75","0.0447672","0.0670781","-0","0","0","0","0","0","0","0.888192","3.72088e+09","libgomp.so.1.0.0","func@0x25824","[Unknown]","0x25824"
"k4_parallel_sieve_functional._omp_fn.1","0.197254","666500000","533200000","1.25","0.109093","0","-0","0","0.108753","0.000184317","0.109093","0","0","0.8584","3.37889e+09","primes_omp","k4_parallel_sieve_functional._omp_fn.1","primes2.c","0x2340"
"k4a_parallel_sieve_functional_fs._omp_fn.1","0.268346","663400000","508400000","1.30488","0","0.109446","0","0","0.328838","0","0","0","0","0.814219","2.47218e+09","primes_omp","k4a_parallel_sieve_functional_fs._omp_fn.1","primes2.c","0x27e0"
"k5_parallel_sieve_domain._omp_fn.1","0.190245","651000000","533200000","1.22093","0","0","0","0","0","0","0","0","0","1","3.4219e+09","primes_omp","k5_parallel_sieve_domain._omp_fn.1","primes2.c","0x2c60"
"k2_parallel_division._omp_fn.1","0.110142","347200000","260400000","1.33333","0","0","0","0","0","0","0","0","0","1","3.15229e+09","primes_omp","k2_parallel_division._omp_fn.1","primes2.c","0x1ce0"
"__memset_avx2_unaligned_erms","0.120155","347200000","0","","0.733592","0.314397","-0","0","0.209598","0","0","0","0","0","2.8896e+09","libc.so.6","__memset_avx2_unaligned_erms","memset-vec-unaligned-erms.S","0x189480"
"func@0x12894","0.0120155","49600000","0","","0","0","0","0","0","0","1","0","0","1","4.128e+09","libgomp.so.1.0.0","func@0x12894","[Unknown]","0x12894"
"GOMP_loop_dynamic_next","0.00801033","31000000","0","","0","0","0","0","0","0","0","0","0","1","3.87e+09","libgomp.so.1.0.0","GOMP_loop_dynamic_next","[Unknown]","0x14340"
"[i915]","0.0120155","24800000","6200000","4","0","0","0","0","0","0","1","0","0","1","2.064e+09","i915","[i915]","[Unknown]","0"
"[kvm]","0.0220284","18600000","6200000","3","0","1","1","0","0","0","0","0","0","0","8.44364e+08","kvm","[kvm]","[Unknown]","0"
"func@0x1244","0","6200000","0","","0","0","0","0","0","0","0","1","0","1","","primes_omp","func@0x1244","[Unknown]","0x1244"
"build_prime_array","0","6200000","0","","0","0","0","0","0","0","0","0","0","1","","primes_omp","build_prime_array","primes2.c","0x3093"
"func@0x12834","0.00200258","6200000","0","","0","0","0","0","0","0","0","0","0","1","3.096e+09","libgomp.so.1.0.0","func@0x12834","[Unknown]","0x12834"
"build_prime_array","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","primes_omp","build_prime_array","primes2.c","0x3610"
"build_prime_array2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","primes_omp","build_prime_array2","primes2.c","0x1474"
"[Unknown stack frame(s)]","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","[Unknown]","[Unknown stack frame(s)]","[Unknown]","0"
